epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,109,304
0.05,1.90735e-06,311752,14.6111,23.3905,91,137
0.02,0.25,262192,17.715,31.2187,6,23
0.002,0.25,16777264,4.46836e-08,1.25114e-05,9,30
0.05,0.25,32816,186.233,295.54,5,22
0.02,0.125,393288,9.98548,15.6991,11,33
0.002,0.125,25165896,4.46836e-08,1.25114e-05,17,43
0.05,0.125,49224,46.6699,73.056,9,30
0.02,0.0625,524384,6.22795,9.6893,13,39
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,20,55
0.05,0.0625,65632,55.942,87.086,12,36
0.02,0.03125,655480,4.18799,7.39041,16,46
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,24,74
0.05,0.03125,82040,30.1629,49.0358,16,45
0.02,0.015625,786576,3.61717,5.429,22,55
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,37,98
0.05,0.015625,98448,33.4967,53.2843,19,50
0.02,0.0078125,917672,2.72417,4.16739,26,61
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,42,109
0.05,0.0078125,114856,26.7794,42.2884,22,55
0.02,0.00390625,1048768,4.49493,6.8627,30,72
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,40,124
0.05,0.00390625,131264,25.9816,40.9157,29,65
0.02,0.00195312,1179864,2.81452,4.38704,34,81
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,47,145
0.05,0.00195312,147672,25.2975,39.546,34,72
0.02,0.000976562,1310960,3.83285,6.05419,40,87
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,50,161
0.05,0.000976562,164080,24.2092,38.0551,38,78
0.02,0.000488281,1442056,2.13057,3.2479,46,96
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,53,179
0.05,0.000488281,180488,21.8703,34.2339,41,88
0.02,0.000244141,1573152,1.85447,2.89885,49,109
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,63,173
0.05,0.000244141,196896,23.9003,37.5865,48,92
0.02,0.00012207,1704248,1.82751,2.90149,55,116
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,68,188
0.05,0.00012207,213304,18.2879,28.9711,52,97
0.02,6.10352e-05,1835344,1.63749,2.53276,60,131
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,76,217
0.05,6.10352e-05,229712,17.7789,28.1857,54,109
0.02,3.05176e-05,1966440,1.49131,2.3646,63,129
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,78,222
0.05,3.05176e-05,246120,18.3722,29.1622,60,116
0.02,1.52588e-05,2097536,1.53895,2.37384,70,147
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,80,257
0.05,1.52588e-05,262528,16.7461,26.3834,64,122
0.02,7.62939e-06,2228632,1.56647,2.43328,83,147
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,103,265
0.05,7.62939e-06,278936,17.1844,27.0195,82,127
0.02,3.8147e-06,2359728,1.66652,2.62014,90,156
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,110,282
0.05,3.8147e-06,295344,16.92,26.5621,85,131
0.02,1.90735e-06,2490824,1.44093,2.20958,98,165
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,108,299
0.05,1.90735e-06,311752,15.8913,24.9609,93,140
0.02,0.25,262192,24.9084,38.747,7,21
0.002,0.25,16777264,4.46836e-08,1.25114e-05,10,32
0.05,0.25,32816,107.459,166.427,6,22
0.02,0.125,393288,5.9881,9.01083,9,30
0.002,0.125,25165896,4.46836e-08,1.25114e-05,18,51
0.05,0.125,49224,49.0152,77.1836,11,27
0.02,0.0625,524384,8.60418,13.069,12,37
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,19,62
