epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.02,0.25,131120,25.4108,39.2338,5,23
0.002,0.25,8388656,4.46836e-08,1.25114e-05,8,29
0.05,0.25,16432,114.736,178.22,5,23
0.02,0.125,196680,5.60857,8.65013,9,31
0.002,0.125,12582984,4.46836e-08,1.25114e-05,19,60
0.05,0.125,24648,49.0346,76.8334,11,31
0.02,0.0625,262240,8.22276,12.7129,12,37
0.002,0.0625,16777312,4.46836e-08,1.25114e-05,19,59
0.05,0.0625,32864,48.2367,75.5565,14,39
0.02,0.03125,327800,3.26521,5.38809,20,59
0.002,0.03125,20971640,4.46836e-08,1.25114e-05,32,87
0.05,0.03125,41080,37.2037,58.0933,17,45
0.02,0.015625,393360,4.12445,6.3615,21,56
0.002,0.015625,25165968,4.46836e-08,1.25114e-05,43,136
0.05,0.015625,49296,35.9184,56.2416,21,54
0.02,0.0078125,458920,2.6525,4.04614,27,64
0.002,0.0078125,29360296,4.46836e-08,1.25114e-05,43,120
0.05,0.0078125,57512,21.7293,35.3314,26,59
0.02,0.00390625,524480,2.75429,4.36019,40,77
0.002,0.00390625,33554624,4.46836e-08,1.25114e-05,47,162
0.05,0.00390625,65728,22.9019,36.8111,28,70
0.02,0.00195312,590040,2.1557,3.40645,52,82
0.002,0.00195312,37748952,4.46836e-08,1.25114e-05,64,165
0.05,0.00195312,73944,24.5605,38.5042,36,83
0.02,0.000976562,655600,1.997,3.09132,44,96
0.002,0.000976562,41943280,4.46836e-08,1.25114e-05,59,209
0.05,0.000976562,82160,23.7948,37.4695,39,82
0.02,0.000488281,721160,2.12435,3.29178,50,112
0.002,0.000488281,46137608,4.46836e-08,1.25114e-05,78,208
0.05,0.000488281,90376,22.5292,35.3632,44,92
0.02,0.000244141,786720,1.71038,2.6247,56,122
0.002,0.000244141,50331936,4.46836e-08,1.25114e-05,74,239
0.05,0.000244141,98592,20.5864,32.3099,51,98
0.02,0.00012207,852280,1.642,2.53803,67,126
0.002,0.00012207,54526264,4.46836e-08,1.25114e-05,78,243
0.05,0.00012207,106808,18.9507,29.835,55,107
0.02,6.10352e-05,917840,1.57438,2.42083,59,123
0.002,6.10352e-05,58720592,4.46836e-08,1.25114e-05,79,230
0.05,6.10352e-05,115024,19.6375,30.8613,56,115
0.02,3.05176e-05,983400,1.59715,2.52799,66,137
0.002,3.05176e-05,62914920,4.46836e-08,1.25114e-05,88,257
0.05,3.05176e-05,123240,19.0557,29.8457,64,119
0.02,1.52588e-05,1048960,1.56691,2.4486,76,147
0.002,1.52588e-05,67109248,4.46836e-08,1.25114e-05,81,280
0.05,1.52588e-05,131456,17.2904,27.0648,71,127
0.02,7.62939e-06,1114520,1.61211,2.48644,91,148
0.002,7.62939e-06,71303576,4.46836e-08,1.25114e-05,105,282
0.05,7.62939e-06,139672,17.8628,28.1655,89,133
0.02,3.8147e-06,1180080,1.38353,2.14376,94,170
0.002,3.8147e-06,75497904,4.46836e-08,1.25114e-05,107,304
0.05,3.8147e-06,147888,16.0032,25.5246,90,141
0.02,1.90735e-06,1245640,1.43405,2.22806,104,173
0.002,1.90735e-06,79692232,4.46836e-08,1.25114e-05,115,339
0.05,1.90735e-06,156104,14.8,23.4347,103,153
0.02,0.25,131120,21.1758,35.3685,5,26
0.002,0.25,8388656,4.46836e-08,1.25114e-05,11,35
0.05,0.25,16432,105.987,164.149,6,24
0.02,0.125,196680,5.26305,8.14311,10,32
0.002,0.125,12582984,4.46836e-08,1.25114e-05,21,51
0.05,0.125,24648,45.8425,72.0629,11,32
0.02,0.0625,262240,8.24688,12.339,13,41
0.002,0.0625,16777312,4.46836e-08,1.25114e-05,26,67
0.05,0.0625,32864,50.3156,81.3273,15,38
0.02,0.03125,327800,3.85839,6.05788,20,49
0.002,0.03125,20971640,4.46836e-08,1.25114e-05,30,89
0.05,0.03125,41080,34.3488,54.0332,19,47
0.02,0.015625,393360,2.7621,4.36471,22,59
0.002,0.015625,25165968,4.46836e-08,1.25114e-05,39,104
0.05,0.015625,49296,33.1081,51.7429,24,56
0.02,0.0078125,458920,3.39694,5.23853,27,67
0.002,0.0078125,29360296,4.46836e-08,1.25114e-05,42,127
0.05,0.0078125,57512,23.6694,38.7379,25,66
0.02,0.00390625,524480,2.25764,3.56168,37,77
0.002,0.00390625,33554624,4.46836e-08,1.25114e-05,47,153
0.05,0.00390625,65728,27.8887,43.8279,31,73
0.02,0.00195312,590040,2.44332,3.70674,38,87
0.002,0.00195312,37748952,4.46836e-08,1.25114e-05,55,165
0.05,0.00195312,73944,28.3939,44.5034,36,77
0.02,0.000976562,655600,2.42087,3.67627,43,98
0.002,0.000976562,41943280,4.46836e-08,1.25114e-05,59,163
0.05,0.000976562,82160,23.8898,37.135,41,84
0.02,0.000488281,721160,1.82823,2.88296,47,111
