epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.05,1.90735e-06,311752,16.4011,25.6592,99,669
0.02,0.25,262192,18.0782,30.9273,5,504
0.002,0.25,16777264,4.46836e-08,1.25114e-05,12,533
0.05,0.25,32816,108.785,169.756,5,503
0.02,0.125,393288,7.28443,11.1883,8,534
0.002,0.125,25165896,4.46836e-08,1.25114e-05,14,551
0.05,0.125,49224,49.0324,76.4869,9,514
0.02,0.0625,524384,8.37078,12.7816,12,534
0.002,0.0625,33554528,0.000268887,0.000412877,21,579
0.05,0.0625,65632,51.8501,83.2694,15,536
0.02,0.03125,655480,3.34957,5.24816,16,542
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,27,608
0.05,0.03125,82040,33.1924,52.309,16,532
0.02,0.015625,786576,5.26155,8.11064,18,551
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,30,610
0.05,0.015625,98448,40.3633,63.0435,20,549
0.02,0.0078125,917672,2.59428,3.99872,25,568
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,37,625
0.05,0.0078125,114856,27.9117,43.7168,23,552
0.02,0.00390625,1048768,2.32928,3.54767,30,581
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,47,650
0.05,0.00390625,131264,26.4458,41.9431,29,550
0.02,0.00195312,1179864,2.11711,3.40854,34,576
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,49,677
0.05,0.00195312,147672,26.0428,40.7454,37,563
0.02,0.000976562,1310960,2.00961,3.06466,40,612
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,52,695
0.05,0.000976562,164080,26.5456,41.3668,37,581
0.02,0.000488281,1442056,2.00999,3.30773,44,602
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,59,707
0.05,0.000488281,180488,22.8604,35.6974,42,588
0.02,0.000244141,1573152,1.92602,2.94656,50,628
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,66,735
0.05,0.000244141,196896,23.4209,36.8223,48,593
0.02,0.00012207,1704248,1.65638,2.5385,57,640
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,68,756
0.05,0.00012207,213304,20.5891,32.398,54,613
0.02,6.10352e-05,1835344,1.6308,2.53057,66,648
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,70,801
0.05,6.10352e-05,229712,19.4592,30.5827,58,609
0.02,3.05176e-05,1966440,1.97209,3.11221,66,656
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,82,794
0.05,3.05176e-05,246120,20.9173,33.1381,63,635
0.02,1.52588e-05,2097536,1.92237,3.05464,78,657
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,85,815
0.05,1.52588e-05,262528,17.6318,27.5214,69,630
0.02,7.62939e-06,2228632,1.47512,2.28671,92,672
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,105,822
0.05,7.62939e-06,278936,15.9872,25.5082,83,653
0.02,3.8147e-06,2359728,1.34881,2.10487,93,683
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,110,856
0.05,3.8147e-06,295344,16.9323,26.4451,92,646
0.02,1.90735e-06,2490824,1.33893,2.11539,104,712
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,114,865
0.05,1.90735e-06,311752,18.5289,29.2371,108,656
0.02,0.25,262192,17.3303,26.1439,5,519
0.002,0.25,16777264,3.5435,5.40474,9,533
0.05,0.25,32816,109.675,171.41,5,507
0.02,0.125,393288,6.32773,9.63387,8,523
0.002,0.125,25165896,4.46836e-08,1.25114e-05,16,550
0.05,0.125,49224,51.3432,80.3121,8,587
0.02,0.0625,524384,5.37692,8.62746,12,538
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,21,573
0.05,0.0625,65632,44.3471,70.0393,12,524
0.02,0.03125,655480,3.64362,5.74479,16,552
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,28,590
0.05,0.03125,82040,35.8483,55.9712,16,545
0.02,0.015625,786576,3.11889,4.73993,21,554
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,28,618
0.05,0.015625,98448,41.7853,65.8262,20,536
0.02,0.0078125,917672,2.5558,4.11457,25,649
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,35,633
0.05,0.0078125,114856,28.1694,44.2895,23,567
0.02,0.00390625,1048768,2.44514,3.75599,32,576
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,40,649
0.05,0.00390625,131264,31.1168,48.502,28,555
0.02,0.00195312,1179864,2.389,3.70059,34,596
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,52,666
0.05,0.00195312,147672,21.5339,34.2955,32,574
0.02,0.000976562,1310960,1.94157,2.94744,40,607
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,53,708
0.05,0.000976562,164080,22.9071,35.9396,37,590
0.02,0.000488281,1442056,2.55609,3.95329,45,609
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,56,722
0.05,0.000488281,180488,20.5652,32.4225,41,594
0.02,0.000244141,1573152,3.48957,5.50435,50,621
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,63,717
0.05,0.000244141,196896,26.4841,41.2558,47,601
0.02,0.00012207,1704248,1.5969,2.48543,56,637
