epsilon,delta,memory,averageError,queryTime,updateTime,threshold
0.065625,0.002,73992,69.2088,65,626,0.01
0.065625,0.002,74920,63.6882,67,642,0.001
0.065625,0.002,100872,31.0047,99,856,0.0001
0.065625,0.002,125464,24.5585,80,999,1e-05
0.0464039,0.002,147672,40.4696,70,834,0.1
0.0464039,0.002,147720,35.7515,67,638,0.01
0.0464039,0.002,148648,37.7707,68,619,0.001
0.0464039,0.002,174600,18.667,85,863,0.0001
0.0464039,0.002,199192,16.2685,77,889,1e-05
0.0328125,0.002,295128,18.0633,75,670,0.1
0.0328125,0.002,295176,18.8619,70,632,0.01
0.0328125,0.002,296104,17.0003,73,670,0.001
0.0328125,0.002,322056,10.8601,97,878,0.0001
0.0328125,0.002,346648,9.35422,66,953,1e-05
0.0232019,0.002,590040,9.02865,77,608,0.1
0.0232019,0.002,590088,8.64553,70,686,0.01
0.0232019,0.002,591016,7.81882,65,649,0.001
0.0232019,0.002,616968,5.72407,76,831,0.0001
0.0232019,0.002,641560,4.85385,74,856,1e-05
0.0164062,0.002,1179864,3.95541,84,827,0.1
0.0164062,0.002,1179912,3.31518,76,768,0.01
0.0164062,0.002,1180840,3.89646,77,653,0.001
0.0164062,0.002,1206792,2.86917,76,1062,0.0001
0.0164062,0.002,1231384,2.30401,72,1047,1e-05
0.011601,0.002,2359512,1.68576,71,710,0.1
0.011601,0.002,2359560,1.23933,78,715,0.01
0.011601,0.002,2360488,1.52636,127,1029,0.001
0.011601,0.002,2386440,1.37927,84,1219,0.0001
0.011601,0.002,2411032,1.00943,91,1209,1e-05
0.00820312,0.002,4718808,0.192163,153,1280,0.1
0.00820312,0.002,4718856,0.1232,82,865,0.01
0.00820312,0.002,4719784,0.229172,69,779,0.001
0.00820312,0.002,4745736,0.362806,68,860,0.0001
0.00820312,0.002,4770328,0.327874,106,966,1e-05
0.00580049,0.002,9437400,0.00351571,72,748,0.1
0.00580049,0.002,9437448,0.00112603,72,716,0.01
0.00580049,0.002,9438376,0.321593,79,750,0.001
0.00580049,0.002,9464328,0.00426639,89,885,0.0001
0.00580049,0.002,9488920,0.0107848,73,903,1e-05
0.00410156,0.002,18874584,0,84,824,0.1
0.00410156,0.002,18874632,0,80,787,0.01
0.00410156,0.002,18875560,0,95,794,0.001
0.00410156,0.002,18901512,0,84,880,0.0001
0.00410156,0.002,18926104,0,96,921,1e-05
0.00290024,0.002,37748952,0,90,751,0.1
0.00290024,0.002,37749000,0,103,810,0.01
0.00290024,0.002,37749928,0,100,891,0.001
0.00290024,0.002,37775880,0,108,1043,0.0001
0.00290024,0.002,37800472,0,94,1020,1e-05
0.742462,0.03125,440,3186.11,52,665,0.1
0.742462,0.03125,488,3037.59,51,600,0.01
0.742462,0.03125,1416,1816.55,50,637,0.001
0.742462,0.03125,27368,704.747,54,779,0.0001
0.742462,0.03125,51960,673.193,53,861,1e-05
0.525,0.03125,760,2146.93,51,587,0.1
0.525,0.03125,808,1806.46,59,587,0.01
0.525,0.03125,1736,1128.12,49,599,0.001
0.525,0.03125,27688,348.409,53,766,0.0001
0.525,0.03125,52280,382.406,50,799,1e-05
0.371231,0.03125,1400,1180.41,49,576,0.1
0.371231,0.03125,1448,987.213,51,576,0.01
0.371231,0.03125,2376,757.181,52,616,0.001
0.371231,0.03125,28328,283.052,49,776,0.0001
0.371231,0.03125,52920,223.937,50,786,1e-05
0.2625,0.03125,2680,781.636,52,575,0.1
0.2625,0.03125,2728,745.879,49,575,0.01
0.2625,0.03125,3656,477.62,56,627,0.001
0.2625,0.03125,29608,179.981,54,765,0.0001
0.2625,0.03125,54200,157.657,50,792,1e-05
0.185616,0.03125,5240,464.835,52,630,0.1
0.185616,0.03125,5288,465.033,57,699,0.01
0.185616,0.03125,6216,312.587,54,673,0.001
0.185616,0.03125,32168,127.152,53,995,0.0001
0.185616,0.03125,56760,103.697,55,839,1e-05
0.13125,0.03125,10360,275.041,52,615,0.1
0.13125,0.03125,10408,275.225,52,636,0.01
0.13125,0.03125,11336,205.68,59,598,0.001
0.13125,0.03125,37288,98.3448,52,820,0.0001
0.13125,0.03125,61880,71.8822,52,871,1e-05
0.0928078,0.03125,20600,169.95,49,622,0.1
0.0928078,0.03125,20648,173.501,54,600,0.01
0.0928078,0.03125,21576,144.104,55,947,0.001
0.0928078,0.03125,47528,57.0452,61,1104,0.0001
0.0928078,0.03125,72120,49.723,64,1104,1e-05
0.065625,0.03125,41080,98.9611,56,738,0.1
0.065625,0.03125,41128,97.4376,59,661,0.01
0.065625,0.03125,42056,87.9427,56,702,0.001
0.065625,0.03125,68008,39.2204,53,890,0.0001
0.065625,0.03125,92600,33.8334,55,874,1e-05
0.0464039,0.03125,82040,52.3987,54,653,0.1
0.0464039,0.03125,82088,51.8189,56,679,0.01
0.0464039,0.03125,83016,59.4482,52,697,0.001
0.0464039,0.03125,108968,24.4801,56,889,0.0001
0.0464039,0.03125,133560,22.8932,54,898,1e-05
0.0328125,0.03125,163960,26.0177,56,685,0.1
0.0328125,0.03125,164008,29.9515,55,699,0.01
0.0328125,0.03125,164936,25.827,58,706,0.001
0.0328125,0.03125,190888,14.6798,60,898,0.0001
0.0328125,0.03125,215480,12.3762,53,934,1e-05
0.0232019,0.03125,327800,15.2585,55,726,0.1
0.0232019,0.03125,327848,12.2157,54,696,0.01
0.0232019,0.03125,328776,11.515,53,845,0.001
0.0232019,0.03125,354728,8.19573,48,749,0.0001
0.0232019,0.03125,379320,8.62364,47,753,1e-05
0.0164062,0.03125,655480,5.64117,48,628,0.1
0.0164062,0.03125,655528,4.97246,55,570,0.01
0.0164062,0.03125,656456,6.43579,50,583,0.001
0.0164062,0.03125,682408,4.94783,48,791,0.0001
0.0164062,0.03125,707000,3.69493,49,763,1e-05
0.011601,0.03125,1310840,1.88931,49,631,0.1
0.011601,0.03125,1310888,1.82608,49,591,0.01
0.011601,0.03125,1311816,1.71371,49,597,0.001
0.011601,0.03125,1337768,1.57496,49,737,0.0001
0.011601,0.03125,1362360,1.70538,50,768,1e-05
0.00820312,0.03125,2621560,0.891839,48,592,0.1
0.00820312,0.03125,2621608,0.438488,50,644,0.01
0.00820312,0.03125,2622536,0.362055,60,906,0.001
0.00820312,0.03125,2648488,0.685075,58,857,0.0001
0.00820312,0.03125,2673080,1.33408,52,811,1e-05
0.00580049,0.03125,5243000,1.21144,52,623,0.1
0.00580049,0.03125,5243048,0.00279005,51,635,0.01
0.00580049,0.03125,5243976,0.0166777,54,677,0.001
0.00580049,0.03125,5269928,0.0247476,69,808,0.0001
0.00580049,0.03125,5294520,0,49,930,1e-05
0.00410156,0.03125,10485880,0,54,613,0.1
0.00410156,0.03125,10485928,0,59,656,0.01
0.00410156,0.03125,10486856,0,53,643,0.001
0.00410156,0.03125,10512808,0.00459169,56,769,0.0001
0.00410156,0.03125,10537400,0,54,801,1e-05
0.00290024,0.03125,20971640,0,60,623,0.1
0.00290024,0.03125,20971688,0,60,632,0.01
0.00290024,0.03125,20972616,0,58,650,0.001
0.00290024,0.03125,20998568,0,57,777,0.0001
0.00290024,0.03125,21023160,0.0030653,63,801,1e-05
0.742462,0.125,264,4163.41,41,570,0.1
0.742462,0.125,312,4325.61,39,534,0.01
0.742462,0.125,1240,1398.68,42,595,0.001
0.742462,0.125,27192,872.402,41,720,0.0001
0.742462,0.125,51784,649.881,41,752,1e-05
0.525,0.125,456,3311.52,39,540,0.1
0.525,0.125,504,2250.48,40,559,0.01
0.525,0.125,1432,1331.19,41,580,0.001
0.525,0.125,27384,616.965,39,723,0.0001
0.525,0.125,51976,445.912,40,757,1e-05
0.371231,0.125,840,1658.05,41,539,0.1
0.371231,0.125,888,1264.47,41,539,0.01
0.371231,0.125,1816,892.383,40,568,0.001
0.371231,0.125,27768,363.761,40,719,0.0001
0.371231,0.125,52360,276.045,49,789,1e-05
0.2625,0.125,1608,999.417,41,595,0.1
0.2625,0.125,1656,961.768,41,589,0.01
0.2625,0.125,2584,629.344,42,617,0.001
0.2625,0.125,28536,294.104,43,795,0.0001
0.2625,0.125,53128,198.343,43,809,1e-05
0.185616,0.125,3144,617.903,47,586,0.1
0.185616,0.125,3192,554.964,39,575,0.01
0.185616,0.125,4120,437.843,41,578,0.001
0.185616,0.125,30072,152.191,42,738,0.0001
0.185616,0.125,54664,138.264,40,754,1e-05
0.13125,0.125,6216,376.531,40,535,0.1
0.13125,0.125,6264,371.821,40,545,0.01
0.13125,0.125,7192,283.457,40,569,0.001
0.13125,0.125,33144,122.032,40,716,0.0001
0.13125,0.125,57736,88.7743,41,812,1e-05
0.0928078,0.125,12360,335.964,39,554,0.1
0.0928078,0.125,12408,222.026,41,541,0.01
0.0928078,0.125,13336,182.309,41,571,0.001
0.0928078,0.125,39288,71.7342,40,718,0.0001
0.0928078,0.125,63880,64.7691,41,754,1e-05
0.065625,0.125,24648,131.419,42,542,0.1
0.065625,0.125,24696,137.848,40,542,0.01
0.065625,0.125,25624,118.309,41,570,0.001
0.065625,0.125,51576,47.8871,39,716,0.0001
0.065625,0.125,76168,41.1689,39,755,1e-05
0.0464039,0.125,49224,74.9087,41,581,0.1
0.0464039,0.125,49272,75.7724,41,566,0.01
0.0464039,0.125,50200,66.7588,41,582,0.001
0.0464039,0.125,76152,31.5943,40,751,0.0001
0.0464039,0.125,100744,29.6424,41,761,1e-05
0.0328125,0.125,98376,39.7728,40,547,0.1
0.0328125,0.125,98424,37.2886,40,542,0.01
0.0328125,0.125,99352,36.1869,40,577,0.001
0.0328125,0.125,125304,22.7179,40,697,0.0001
0.0328125,0.125,149896,16.8604,41,752,1e-05
0.0232019,0.125,196680,19.4514,41,544,0.1
0.0232019,0.125,196728,25.3675,47,608,0.01
0.0232019,0.125,197656,18.5579,41,577,0.001
