epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.02,0.25,262192,18.2375,28.3231,37,801
0.002,0.25,16777264,4.46836e-08,1.25114e-05,42,572
0.05,0.25,32816,112.351,176.455,37,538
0.02,0.125,393288,5.60853,8.56052,42,538
0.002,0.125,25165896,4.46836e-08,1.25114e-05,52,580
0.05,0.125,49224,35.5639,59.5092,40,544
0.02,0.0625,524384,7.64782,11.5409,46,553
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,53,599
0.05,0.0625,65632,45.0637,70.0573,42,541
0.02,0.03125,655480,3.13087,4.95682,49,587
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,61,623
0.05,0.03125,82040,43.9276,69.2079,50,554
0.02,0.015625,786576,3.59632,5.4685,54,584
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,64,645
0.05,0.015625,98448,29.3366,46.2137,51,561
0.02,0.0078125,917672,2.69128,4.14807,63,594
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,69,660
0.05,0.0078125,114856,31.8078,49.6888,56,570
0.02,0.00390625,1048768,3.14617,4.83918,63,611
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,80,682
0.05,0.00390625,131264,28.3658,44.8329,59,582
0.02,0.00195312,1179864,2.16279,3.3532,68,623
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,85,772
0.05,0.00195312,147672,26.2028,40.9305,67,618
0.02,0.000976562,1310960,1.89475,3.04055,77,646
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,91,732
0.05,0.000976562,164080,23.7516,37.906,69,598
0.02,0.000488281,1442056,1.97607,3.13287,79,623
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,93,733
0.05,0.000488281,180488,22.068,34.5525,77,614
0.02,0.000244141,1573152,1.7135,2.6618,86,637
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,97,767
0.05,0.000244141,196896,21.632,33.875,83,626
0.02,0.00012207,1704248,1.75678,2.71122,90,657
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,107,795
0.05,0.00012207,213304,19.3371,30.4605,86,634
0.02,6.10352e-05,1835344,1.50188,2.31155,95,669
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,111,811
0.05,6.10352e-05,229712,19.51,30.5431,92,651
0.02,3.05176e-05,1966440,1.5766,2.45848,107,686
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,121,838
0.05,3.05176e-05,246120,17.6547,27.7778,97,653
0.02,1.52588e-05,2097536,1.54454,2.39156,109,684
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,121,854
0.05,1.52588e-05,262528,19.2637,30.1045,107,652
0.02,7.62939e-06,2228632,1.65376,2.57157,128,695
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,143,871
0.05,7.62939e-06,278936,15.7166,24.8714,120,669
0.02,3.8147e-06,2359728,1.41305,2.17731,131,724
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,143,1033
0.05,3.8147e-06,295344,16.7406,26.775,128,689
0.02,1.90735e-06,2490824,1.39335,2.17452,142,732
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,153,931
0.05,1.90735e-06,311752,17.4146,27.3237,135,687
0.02,0.25,262192,17.9976,27.9462,36,536
0.002,0.25,16777264,4.46836e-08,1.25114e-05,44,552
0.05,0.25,32816,111.139,173.147,37,543
0.02,0.125,393288,5.5933,8.63312,43,546
0.002,0.125,25165896,0.465098,0.751836,53,577
0.05,0.125,49224,49.9991,78.2338,41,535
0.02,0.0625,524384,6.39269,10.0914,46,554
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,53,609
0.05,0.0625,65632,51.4103,82.5928,47,549
0.02,0.03125,655480,4.51373,6.89372,49,559
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,58,618
0.05,0.03125,82040,32.2135,50.8353,49,561
0.02,0.015625,786576,7.29622,11.3518,53,582
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,64,644
0.05,0.015625,98448,33.5071,52.3595,52,561
0.02,0.0078125,917672,2.5034,4.01613,58,587
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,69,661
0.05,0.0078125,114856,27.1029,42.5902,56,595
0.02,0.00390625,1048768,2.60451,4.084,64,603
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,74,682
0.05,0.00390625,131264,26.1685,41.1634,60,579
0.02,0.00195312,1179864,2.53541,3.97842,67,623
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,84,708
0.05,0.00195312,147672,23.3761,36.6641,64,593
0.02,0.000976562,1310960,3.32601,5.09412,79,623
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,87,729
0.05,0.000976562,164080,26.32,41.3351,69,618
0.02,0.000488281,1442056,1.80706,2.80604,81,636
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,93,745
0.05,0.000488281,180488,23.7501,37.1477,77,609
0.02,0.000244141,1573152,2.84814,4.47038,87,641
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,98,764
0.05,0.000244141,196896,21.5552,34.3126,81,630
0.02,0.00012207,1704248,1.72591,2.68335,90,664
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,104,794
0.05,0.00012207,213304,19.8876,31.4961,88,650
0.02,6.10352e-05,1835344,1.55859,2.47161,97,673
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,111,814
0.05,6.10352e-05,229712,19.7574,30.8165,89,637
0.02,3.05176e-05,1966440,1.72345,2.67044,105,683
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,117,839
0.05,3.05176e-05,246120,19.9264,31.276,98,670
0.02,1.52588e-05,2097536,1.32329,2.1122,110,683
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,123,855
0.05,1.52588e-05,262528,18.1273,28.7564,104,660
0.02,7.62939e-06,2228632,1.468,2.29326,130,706
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,142,877
0.05,7.62939e-06,278936,17.7386,27.928,118,668
0.02,3.8147e-06,2359728,1.63961,2.60471,131,714
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,148,900
0.05,3.8147e-06,295344,15.33,24.3599,123,677
0.02,1.90735e-06,2490824,1.42369,2.21701,139,717
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,152,919
0.05,1.90735e-06,311752,16.0285,25.4764,135,691
0.02,0.25,262192,23.2351,37.026,37,530
0.002,0.25,16777264,0.21737,0.286574,46,548
0.05,0.25,32816,124.682,193.259,39,540
0.02,0.125,393288,4.90238,8.32762,41,550
0.002,0.125,25165896,4.46836e-08,1.25114e-05,53,602
0.05,0.125,49224,49.3556,77.1546,41,540
0.02,0.0625,524384,4.3094,7.54248,46,557
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,52,597
0.05,0.0625,65632,50.1801,83.7264,43,553
0.02,0.03125,655480,3.91217,6.06088,50,564
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,63,629
0.05,0.03125,82040,34.983,54.6924,46,564
0.02,0.015625,786576,3.603,5.82751,53,588
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,65,639
0.05,0.015625,98448,34.9118,54.5311,51,556
0.02,0.0078125,917672,2.71934,4.16076,59,591
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,72,669
0.05,0.0078125,114856,33.862,52.9305,57,586
0.02,0.00390625,1048768,2.23922,3.49358,64,605
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,80,692
0.05,0.00390625,131264,27.3318,42.6778,60,579
0.02,0.00195312,1179864,2.26577,3.47103,70,612
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,84,708
0.05,0.00195312,147672,23.5417,36.8988,67,615
0.02,0.000976562,1310960,2.42489,3.89453,75,627
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,87,739
0.05,0.000976562,164080,22.1993,34.7244,70,619
0.02,0.000488281,1442056,1.81697,2.81678,86,633
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,95,742
0.05,0.000488281,180488,17.6656,28.4617,76,613
0.02,0.000244141,1573152,1.80018,2.80197,85,651
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,99,763
0.05,0.000244141,196896,26.2901,40.7815,80,617
0.02,0.00012207,1704248,1.79202,2.79163,92,658
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,105,780
0.05,0.00012207,213304,19.1154,30.0886,87,637
0.02,6.10352e-05,1835344,1.87105,2.96509,96,670
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,109,812
0.05,6.10352e-05,229712,21.6216,33.6994,91,638
0.02,3.05176e-05,1966440,1.59603,2.47436,101,674
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,116,825
0.05,3.05176e-05,246120,18.3378,28.8371,111,655
0.02,1.52588e-05,2097536,1.38804,2.18065,110,691
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,119,855
0.05,1.52588e-05,262528,18.0918,28.2866,105,659
0.02,7.62939e-06,2228632,1.36928,2.12003,125,708
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,142,879
0.05,7.62939e-06,278936,17.4364,27.2869,119,684
0.02,3.8147e-06,2359728,1.71963,2.65522,140,724
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,144,903
0.05,3.8147e-06,295344,17.9125,28.1087,127,678
0.02,1.90735e-06,2490824,1.25914,1.96304,143,732
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,156,928
0.05,1.90735e-06,311752,14.9358,23.6404,134,697
0.02,0.25,262192,19.14,29.3844,37,532
0.002,0.25,16777264,4.46836e-08,1.25114e-05,44,561
0.05,0.25,32816,130.809,205.487,37,525
0.02,0.125,393288,7.02666,10.6653,41,551
0.002,0.125,25165896,4.46836e-08,1.25114e-05,53,586
0.05,0.125,49224,49.8008,77.8271,85,607
0.02,0.0625,524384,5.37836,8.52295,45,552
0.002,0.0625,33554528,0.0351134,0.0588537,52,595
0.05,0.0625,65632,44.7678,70.1672,43,551
0.02,0.03125,655480,3.45249,5.25885,50,551
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,60,628
0.05,0.03125,82040,34.5986,54.1557,49,571
0.02,0.015625,786576,4.52906,7.1689,54,583
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,66,644
0.05,0.015625,98448,43.7218,68.8272,51,564
0.02,0.0078125,917672,2.35335,3.80202,58,593
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,73,657
0.05,0.0078125,114856,30.7898,48.0115,56,582
0.02,0.00390625,1048768,3.19655,5.03208,65,607
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,76,682
0.05,0.00390625,131264,27.1996,42.6262,62,580
0.02,0.00195312,1179864,2.36206,3.78614,68,615
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,82,700
0.05,0.00195312,147672,24.8569,39.0259,65,602
0.02,0.000976562,1310960,3.65014,5.58897,72,633
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,85,733
0.05,0.000976562,164080,28.6123,45.9192,71,603
0.02,0.000488281,1442056,1.75872,2.74806,81,636
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,93,754
0.05,0.000488281,180488,22.9362,35.8377,75,627
0.02,0.000244141,1573152,1.52684,2.40622,83,774
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,97,765
0.05,0.000244141,196896,21.1597,33.0906,79,625
0.02,0.00012207,1704248,1.79951,2.80124,92,675
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,109,801
0.05,0.00012207,213304,19.3587,30.4083,87,633
0.02,6.10352e-05,1835344,2.0489,3.20761,98,668
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,114,806
0.05,6.10352e-05,229712,19.0435,29.7938,93,640
0.02,3.05176e-05,1966440,1.77472,2.73787,107,674
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,116,836
0.05,3.05176e-05,246120,17.6741,27.7922,100,651
0.02,1.52588e-05,2097536,1.39514,2.21037,110,693
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,118,869
0.05,1.52588e-05,262528,19.0237,29.8876,104,669
0.02,7.62939e-06,2228632,1.42648,2.19127,193,808
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,140,914
0.05,7.62939e-06,278936,16.3449,25.807,122,677
0.02,3.8147e-06,2359728,1.47108,2.31163,133,718
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,153,896
0.05,3.8147e-06,295344,16.3197,25.7341,132,695
0.02,1.90735e-06,2490824,1.36564,2.12114,141,731
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,158,934
0.05,1.90735e-06,311752,15.4242,24.2449,133,699
