epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
4.19617e-06,1e-07,201326784,4.46836e-08,1.25114e-05,83,941
2.09808e-06,1e-07,402653376,4.46836e-08,1.25114e-05,84,1004
0.275,1e-05,2312,25051.5,39561.2,16,652
0.1375,1e-05,4488,11921.5,18826.7,14,685
0.06875,1e-05,8840,5524.74,8722.73,18,714
0.034375,1e-05,17544,2552.39,4029.05,16,887
0.0171875,1e-05,34952,945.111,1499.57,17,815
0.00859375,1e-05,69768,351.494,583.515,14,865
0.00429688,1e-05,139400,190.003,299.245,17,674
0.00214844,1e-05,278664,60.868,98.4006,19,686
0.00107422,1e-05,557192,24.092,37.9477,19,705
0.000537109,1e-05,1114248,7.84197,12.3974,17,719
0.000268555,1e-05,2228360,2.22898,3.50342,28,761
0.000134277,1e-05,4456584,0.520185,0.818447,18,837
6.71387e-05,1e-05,8913032,0.001218,0.00193927,30,887
3.35693e-05,1e-05,17825928,4.46836e-08,1.25114e-05,50,859
1.67847e-05,1e-05,35651720,4.46836e-08,1.25114e-05,49,878
8.39233e-06,1e-05,71303304,4.46836e-08,1.25114e-05,53,843
4.19617e-06,1e-05,142606472,4.46836e-08,1.25114e-05,54,888
2.09808e-06,1e-05,285212808,4.46836e-08,1.25114e-05,53,854
0.275,0.001,1360,25649.6,40509.1,10,571
0.1375,0.001,2640,12322.6,19456.2,11,607
0.06875,0.001,5200,5700.38,9002.4,10,567
0.034375,0.001,10320,2348.89,3722.54,11,616
0.0171875,0.001,20560,1181.26,1864.09,14,597
0.00859375,0.001,41040,509.581,803.428,10,631
0.00429688,0.001,82000,213.382,335.88,11,699
0.00214844,0.001,163920,81.1994,127.652,12,702
0.00107422,0.001,327760,28.3476,44.6436,10,640
0.000537109,0.001,655440,9.90495,15.4978,11,629
0.000268555,0.001,1310800,2.67495,4.20575,12,631
0.000134277,0.001,2621520,0.699783,1.10939,12,671
6.71387e-05,0.001,5242960,0.0137137,0.0217323,12,681
3.35693e-05,0.001,10485840,4.46836e-08,1.25114e-05,13,716
1.67847e-05,0.001,20971600,4.46836e-08,1.25114e-05,34,786
8.39233e-06,0.001,41943120,4.46836e-08,1.25114e-05,32,837
4.19617e-06,0.001,83886160,4.46836e-08,1.25114e-05,42,911
2.09808e-06,0.001,167772240,4.46836e-08,1.25114e-05,33,773
0.275,0.03125,680,26336.7,41600.3,6,597
0.1375,0.03125,1320,12651.8,19976.8,6,591
0.06875,0.03125,2600,5834.7,9217.64,5,602
0.034375,0.03125,5160,2806.31,4430.85,5,592
0.0171875,0.03125,10280,1145.84,1821.37,5,629
