epsilon,delta,memory,averageError,queryTime,updateTime,threshold
0.065625,0.002,73992,68.722,76,630,0.01
0.065625,0.002,74920,66.8156,69,693,0.001
0.065625,0.002,100872,28.7797,69,758,0.0001
0.065625,0.002,125464,24.1398,65,881,1e-05
0.0464039,0.002,147672,38.1467,83,605,0.1
0.0464039,0.002,147720,36.5461,72,662,0.01
0.0464039,0.002,148648,37.0446,66,610,0.001
0.0464039,0.002,174600,18.4971,72,817,0.0001
0.0464039,0.002,199192,15.4929,65,835,1e-05
0.0328125,0.002,295128,17.5734,65,649,0.1
0.0328125,0.002,295176,18.0194,65,641,0.01
0.0328125,0.002,296104,20.1148,68,664,0.001
0.0328125,0.002,322056,10.8675,69,877,0.0001
0.0328125,0.002,346648,9.63483,89,1145,1e-05
0.0232019,0.002,590040,8.56769,64,624,0.1
0.0232019,0.002,590088,7.79142,70,645,0.01
0.0232019,0.002,591016,9.12967,68,654,0.001
0.0232019,0.002,616968,6.14686,88,782,0.0001
0.0232019,0.002,641560,5.16994,67,811,1e-05
0.0164062,0.002,1179864,3.837,74,711,0.1
0.0164062,0.002,1179912,3.4789,96,703,0.01
0.0164062,0.002,1180840,3.51894,101,912,0.001
0.0164062,0.002,1206792,2.6302,105,886,0.0001
0.0164062,0.002,1231384,2.40064,80,1176,1e-05
0.011601,0.002,2359512,2.31208,69,665,0.1
0.011601,0.002,2359560,1.5378,75,605,0.01
0.011601,0.002,2360488,1.47719,71,841,0.001
0.011601,0.002,2386440,1.0976,101,1216,0.0001
0.011601,0.002,2411032,1.32385,65,924,1e-05
0.00820312,0.002,4718808,0.234151,81,693,0.1
0.00820312,0.002,4718856,0.586435,67,659,0.01
0.00820312,0.002,4719784,0.268858,141,811,0.001
0.00820312,0.002,4745736,0.238242,77,896,0.0001
0.00820312,0.002,4770328,0.103369,105,1112,1e-05
0.00580049,0.002,9437400,0.0124739,85,900,0.1
0.00580049,0.002,9437448,0.00122612,105,997,0.01
0.00580049,0.002,9438376,0.00226457,84,821,0.001
0.00580049,0.002,9464328,0.0131995,76,869,0.0001
0.00580049,0.002,9488920,0.00925845,78,879,1e-05
0.00410156,0.002,18874584,0.000863288,82,713,0.1
0.00410156,0.002,18874632,0,89,770,0.01
0.00410156,0.002,18875560,0.000337808,84,749,0.001
0.00410156,0.002,18901512,0.00182667,109,949,0.0001
0.00410156,0.002,18926104,0,89,854,1e-05
0.00290024,0.002,37748952,0,91,795,0.1
0.00290024,0.002,37749000,0,77,780,0.01
0.00290024,0.002,37749928,0,96,714,0.001
0.00290024,0.002,37775880,0,104,968,0.0001
0.00290024,0.002,37800472,0,97,943,1e-05
