epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.02,0.25,4112,1505.24,2372.57,36,519
0.002,0.25,32784,138.434,217.109,53,543
0.05,0.25,2064,3176.54,5014.9,35,547
0.02,0.125,6168,1384.32,2185.06,36,529
0.002,0.125,49176,118.693,186.208,35,540
0.05,0.125,3096,3004,4742.51,35,534
0.02,0.0625,8224,1129.3,1804.11,35,543
0.002,0.0625,65568,101.233,159.585,35,547
0.05,0.0625,4128,2890.69,4561.04,37,529
0.02,0.03125,10280,1277.51,2015.52,39,549
0.002,0.03125,81960,100.085,157.079,39,541
0.05,0.03125,5160,2819.76,4451.93,37,533
0.02,0.015625,12336,1248.45,1970.6,37,552
0.002,0.015625,98352,90.4099,142.289,37,544
0.05,0.015625,6192,2775.06,4380.95,37,546
0.02,0.0078125,14392,1233.57,1946.08,39,547
0.002,0.0078125,114744,90.6969,142.445,39,555
0.05,0.0078125,7224,2751.78,4344.13,39,553
0.02,0.00390625,16448,1212.54,1912.69,40,557
0.002,0.00390625,131136,87.6733,137.589,39,570
0.05,0.00390625,8256,2616.29,4131.11,39,576
0.02,0.00195312,18504,961.682,1532.92,40,562
0.002,0.00195312,147528,83.5479,131.364,42,578
0.05,0.00195312,9288,2672.69,4217.75,40,560
0.02,0.000976562,20560,1181.12,1863.23,42,570
0.002,0.000976562,163920,82.5769,129.659,43,574
0.05,0.000976562,10320,2634.94,4160.57,41,564
0.02,0.000488281,22616,1175.94,1854.86,42,588
0.002,0.000488281,180312,79.1118,125.419,44,588
0.05,0.000488281,11352,2222.07,3525.51,41,579
0.02,0.000244141,24672,1029.8,1629.32,41,577
0.002,0.000244141,196704,71.7864,113.582,43,595
0.05,0.000244141,12384,2553.61,4031.07,42,575
0.02,0.00012207,26728,1150.15,1815.3,44,610
0.002,0.00012207,213096,70.7087,112.966,44,622
0.05,0.00012207,13416,2604.54,4110.59,44,596
0.02,6.10352e-05,28784,1085.04,1714.83,51,594
0.002,6.10352e-05,229488,74.8782,117.637,44,606
0.05,6.10352e-05,14448,2409.13,3809.95,44,590
0.02,3.05176e-05,30840,1120.13,1767.64,44,605
0.002,3.05176e-05,245880,75.2385,118.25,45,615
0.05,3.05176e-05,15480,2145.85,3473.65,45,596
0.02,1.52588e-05,32896,1092.58,1725.56,47,615
0.002,1.52588e-05,262272,64.3544,102.817,44,659
0.05,1.52588e-05,16512,2558.94,4039.59,45,598
0.02,7.62939e-06,34952,1067.04,1685.48,45,612
0.002,7.62939e-06,278664,72.92,114.623,47,617
0.05,7.62939e-06,17544,2522.85,3984.03,47,611
0.02,3.8147e-06,37008,1074.53,1698.13,47,613
0.002,3.8147e-06,295056,68.6851,108.655,48,630
0.05,3.8147e-06,18576,2510.55,3963.2,47,615
0.02,1.90735e-06,39064,980.974,1553.41,46,633
0.002,1.90735e-06,311448,63.3652,100.956,48,639
0.05,1.90735e-06,19608,2527.43,3990.91,47,620
0.02,0.25,4112,1508.42,2381.31,34,523
0.002,0.25,32784,140.83,220.834,38,531
0.05,0.25,2064,3157.66,4985.84,34,523
0.02,0.125,6168,1362.3,2150.71,35,526
0.002,0.125,49176,118.092,185.366,35,536
0.05,0.125,3096,2992.91,4723.03,34,529
0.02,0.0625,8224,1312.47,2071.16,35,539
0.002,0.0625,65568,101.802,160.192,36,549
0.05,0.0625,4128,2831.5,4473.28,36,535
0.02,0.03125,10280,1285.17,2028.65,37,539
0.002,0.03125,81960,87.5951,138.846,38,550
0.05,0.03125,5160,2756.17,4350.43,39,535
0.02,0.015625,12336,1251.6,1974.64,38,546
0.002,0.015625,98352,88.7234,139.837,39,553
0.05,0.015625,6192,2773.56,4378.88,38,545
0.02,0.0078125,14392,1233.5,1946.73,37,551
0.002,0.0078125,114744,90.5414,142.183,41,561
0.05,0.0078125,7224,2702.29,4266.55,39,559
0.02,0.00390625,16448,1214.73,1916.51,40,558
0.002,0.00390625,131136,86.0428,135.152,40,568
0.05,0.00390625,8256,2671.53,4218.81,40,562
0.02,0.00195312,18504,1215.41,1917.38,41,564
0.002,0.00195312,147528,85.3227,133.892,43,586
0.05,0.00195312,9288,2680.68,4231.75,41,578
0.02,0.000976562,20560,1180.6,1862.96,41,569
0.002,0.000976562,163920,81.5304,128.227,42,574
0.05,0.000976562,10320,2580.11,4075.16,41,565
0.02,0.000488281,22616,1179.7,1861.03,43,579
0.002,0.000488281,180312,80.9355,127.093,46,583
0.05,0.000488281,11352,2517.86,3977.56,44,575
0.02,0.000244141,24672,1147.48,1811.47,44,580
0.002,0.000244141,196704,73.1222,115.563,43,602
0.05,0.000244141,12384,2516.12,3975.17,45,578
0.02,0.00012207,26728,1156.28,1824.42,44,580
0.002,0.00012207,213096,66.5364,106.69,44,593
0.05,0.00012207,13416,2567.45,4052.53,44,588
0.02,6.10352e-05,28784,1077.07,1702.8,49,596
0.002,6.10352e-05,229488,71.7817,113.706,45,606
0.05,6.10352e-05,14448,2586.76,4081.31,44,590
0.02,3.05176e-05,30840,821.913,1347.68,44,599
0.002,3.05176e-05,245880,74.1275,116.69,47,612
0.05,3.05176e-05,15480,2233.4,3544.98,45,590
0.02,1.52588e-05,32896,1127.66,1779.17,48,602
0.002,1.52588e-05,262272,75.2648,118.239,46,623
0.05,1.52588e-05,16512,2549.3,4025.21,46,602
0.02,7.62939e-06,34952,847.174,1365.81,46,602
0.002,7.62939e-06,278664,72.9406,114.646,46,621
0.05,7.62939e-06,17544,2267.76,3598.12,46,607
0.02,3.8147e-06,37008,1003.92,1587.42,45,611
0.002,3.8147e-06,295056,73.2905,115.207,48,645
0.05,3.8147e-06,18576,2508.19,3959.91,46,605
0.02,1.90735e-06,39064,1051.17,1660.62,47,615
0.002,1.90735e-06,311448,61.6384,98.6022,47,646
0.05,1.90735e-06,19608,2535.14,4002.69,47,614
0.02,0.25,4112,1485.96,2345.7,34,538
0.002,0.25,32784,141.107,221.165,36,525
0.05,0.25,2064,3183.17,5022.79,35,529
0.02,0.125,6168,1397.06,2202.96,35,532
0.002,0.125,49176,116.283,182.589,35,534
0.05,0.125,3096,2981.7,4707.76,35,539
0.02,0.0625,8224,1326.43,2093.63,36,533
0.002,0.0625,65568,106.395,167.196,37,543
0.05,0.0625,4128,2874.84,4538.76,35,530
0.02,0.03125,10280,1304.41,2057.08,37,540
0.002,0.03125,81960,96.9192,152.34,38,551
0.05,0.03125,5160,2750.61,4344.84,39,540
0.02,0.015625,12336,1250.67,1973.18,37,550
0.002,0.015625,98352,87.5769,138.23,38,552
0.05,0.015625,6192,2772.69,4376.58,38,543
0.02,0.0078125,14392,1231.14,1942.47,37,550
0.002,0.0078125,114744,87.4889,137.711,40,573
0.05,0.0078125,7224,2665.77,4207.24,39,556
0.02,0.00390625,16448,1213.7,1914.48,39,559
0.002,0.00390625,131136,78.9926,125.001,39,568
0.05,0.00390625,8256,2613.23,4127.87,42,557
0.02,0.00195312,18504,1122.16,1774.08,41,595
0.002,0.00195312,147528,72.6937,115.625,42,563
0.05,0.00195312,9288,2680.84,4231.31,42,562
0.02,0.000976562,20560,1034.66,1639.51,41,572
0.002,0.000976562,163920,76.191,120.532,42,572
0.05,0.000976562,10320,2631.29,4152.61,40,567
0.02,0.000488281,22616,1153.55,1819.58,41,577
0.002,0.000488281,180312,80.2544,126.255,42,583
0.05,0.000488281,11352,2616.59,4130.3,42,577
0.02,0.000244141,24672,1089.73,1724.39,43,583
0.002,0.000244141,196704,79.3395,124.784,43,595
0.05,0.000244141,12384,2624.18,4142.14,43,579
0.02,0.00012207,26728,1169.73,1845.43,44,597
0.002,0.00012207,213096,70.8456,111.923,44,596
0.05,0.00012207,13416,2564.63,4050.63,43,582
0.02,6.10352e-05,28784,1119.85,1768.1,44,598
0.002,6.10352e-05,229488,72.0061,113.616,44,606
0.05,6.10352e-05,14448,2578.32,4069.83,43,594
0.02,3.05176e-05,30840,1139.96,1798.65,45,596
0.002,3.05176e-05,245880,69.2832,109.995,47,612
0.05,3.05176e-05,15480,2526.83,3989.04,47,589
0.02,1.52588e-05,32896,1131.86,1785.57,46,600
0.002,1.52588e-05,262272,65.8499,105.117,48,625
0.05,1.52588e-05,16512,2545.8,4018.74,45,596
0.02,7.62939e-06,34952,1113.06,1756.89,47,602
0.002,7.62939e-06,278664,71.9233,113.009,46,616
0.05,7.62939e-06,17544,2470.82,3902.1,46,607
0.02,3.8147e-06,37008,1115.04,1759.74,46,612
0.002,3.8147e-06,295056,72.735,114.324,47,633
0.05,3.8147e-06,18576,2088.9,3343.4,47,606
0.02,1.90735e-06,39064,1052.22,1664,47,614
0.002,1.90735e-06,311448,64.0151,101.61,48,640
0.05,1.90735e-06,19608,2510.02,3961.43,47,614
0.02,0.25,4112,1497.64,2364.29,35,522
0.002,0.25,32784,121.042,195.003,35,523
0.05,0.25,2064,3130.58,4940.79,34,548
0.02,0.125,6168,1394.03,2198.69,37,678
0.002,0.125,49176,115.912,181.753,38,653
0.05,0.125,3096,2986.06,4713.06,35,531
0.02,0.0625,8224,1280.68,2019.95,35,534
0.002,0.0625,65568,105.652,165.626,38,551
0.05,0.0625,4128,2894.61,4570.89,37,531
0.02,0.03125,10280,1260.58,1992.48,38,544
0.002,0.03125,81960,99.9766,156.771,38,565
0.05,0.03125,5160,2712.39,4285.44,36,539
0.02,0.015625,12336,1268.57,2001.11,40,548
0.002,0.015625,98352,92.25,145.104,38,556
0.05,0.015625,6192,2714.95,4286.4,38,545
0.02,0.0078125,14392,1238.55,1954.53,39,559
0.002,0.0078125,114744,80.8963,128.079,39,569
0.05,0.0078125,7224,2738.43,4322.97,39,556
0.02,0.00390625,16448,983.333,1573.42,40,561
0.002,0.00390625,131136,83.5794,131.594,39,572
0.05,0.00390625,8256,2637.16,4164.87,39,560
0.02,0.00195312,18504,1185.21,1871,47,564
0.002,0.00195312,147528,85.6649,134.46,43,572
0.05,0.00195312,9288,2517.63,3976.74,41,564
0.02,0.000976562,20560,1190.3,1878.87,42,584
0.002,0.000976562,163920,77.3535,122.489,41,581
0.05,0.000976562,10320,2645.92,4177.91,44,579
0.02,0.000488281,22616,1159.22,1830.27,42,578
0.002,0.000488281,180312,82.3193,129.089,43,587
0.05,0.000488281,11352,2642.64,4170.99,43,583
0.02,0.000244141,24672,1154.6,1822.61,43,582
