epsilon,delta,memory,averageError,queryTime,updateTime,threshold
0.02,0.00012207,26824,2130.95,39,604,0.005
0.02,0.00012207,78728,860.696,62,774,5e-05
0.02,0.00012207,128072,736.607,67,824,1e-05
0.002,0.00012207,213784,265.631,44,617,0.001
0.002,0.00012207,237304,358.004,57,727,0.0001
0.002,0.00012207,213192,594.266,40,608,0.005
0.002,0.00012207,265096,408.995,65,783,5e-05
0.002,0.00012207,314440,442.165,68,820,1e-05
0.05,0.00012207,14104,3529.93,43,616,0.001
0.05,0.00012207,37624,1873.1,57,730,0.0001
0.05,0.00012207,13512,4174.01,40,602,0.005
0.05,0.00012207,65416,1423.1,64,775,5e-05
0.05,0.00012207,114760,1100.14,67,825,1e-05
0.02,6.10352e-05,29472,1611.42,44,624,0.001
0.02,6.10352e-05,52992,998.362,61,735,0.0001
0.02,6.10352e-05,28880,2130.49,42,605,0.005
0.02,6.10352e-05,80784,858.661,65,780,5e-05
0.02,6.10352e-05,130128,736.127,64,847,1e-05
0.002,6.10352e-05,230176,265.008,45,637,0.001
0.002,6.10352e-05,253696,357.473,58,732,0.0001
0.002,6.10352e-05,229584,592.74,42,619,0.005
0.002,6.10352e-05,281488,409.992,65,783,5e-05
0.002,6.10352e-05,330832,441.933,71,828,1e-05
0.05,6.10352e-05,15136,3530.14,44,623,0.001
0.05,6.10352e-05,38656,1878.17,60,728,0.0001
0.05,6.10352e-05,14544,4205.18,40,616,0.005
0.05,6.10352e-05,66448,1424.93,64,792,5e-05
0.05,6.10352e-05,115792,1102.34,67,827,1e-05
0.02,0.03125,10968,1847.93,38,577,0.001
0.02,0.03125,34488,1085.91,55,684,0.0001
0.02,0.03125,10376,2345.64,34,547,0.005
0.02,0.03125,62280,895.66,62,747,5e-05
0.02,0.03125,111624,757.139,67,824,1e-05
0.002,0.03125,82648,292.785,39,573,0.001
0.002,0.03125,106168,370.215,57,693,0.0001
0.002,0.03125,82056,623.53,37,553,0.005
0.002,0.03125,133960,418.198,61,754,5e-05
0.002,0.03125,183304,447.158,64,811,1e-05
0.05,0.03125,5848,3799.61,40,566,0.001
0.05,0.03125,29368,1957.29,55,691,0.0001
0.05,0.03125,5256,4557.31,36,557,0.005
0.05,0.03125,57160,1479.37,61,744,5e-05
0.05,0.03125,106504,1127,65,803,1e-05
0.02,0.015625,13024,1805.18,40,586,0.001
0.02,0.015625,36544,1080.29,55,702,0.0001
0.02,0.015625,12432,2289.58,36,556,0.005
0.02,0.015625,64336,888.411,62,750,5e-05
0.02,0.015625,113680,752.58,64,817,1e-05
0.002,0.015625,99040,287.353,41,588,0.001
0.002,0.015625,122560,367.334,58,703,0.0001
0.002,0.015625,98448,615.779,36,571,0.005
0.002,0.015625,150352,416.366,61,748,5e-05
0.002,0.015625,199696,445.784,66,815,1e-05
0.05,0.015625,6880,3736.16,40,574,0.001
0.05,0.015625,30400,1956.08,56,698,0.0001
0.05,0.015625,6288,4457.28,36,564,0.005
0.05,0.015625,58192,1471.05,60,753,5e-05
0.05,0.015625,107536,1126.17,63,818,1e-05
0.02,0.0078125,15080,1770.46,41,586,0.001
0.02,0.0078125,38600,1059.92,73,813,0.0001
0.02,0.0078125,14488,2266.36,37,567,0.005
0.02,0.0078125,66392,880.283,61,765,5e-05
0.02,0.0078125,115736,749.789,66,815,1e-05
0.002,0.0078125,115432,281.41,41,587,0.001
0.002,0.0078125,138952,364.712,56,708,0.0001
0.002,0.0078125,114840,609.948,34,572,0.005
0.002,0.0078125,166744,414.656,62,769,5e-05
0.002,0.0078125,216088,445.056,67,821,1e-05
0.05,0.0078125,7912,3707.49,39,586,0.001
0.05,0.0078125,31432,1925.44,57,699,0.0001
0.05,0.0078125,7320,4437.6,36,574,0.005
0.05,0.0078125,59224,1457.06,61,757,5e-05
0.05,0.0078125,108568,1123.03,67,821,1e-05
0.02,0.00390625,17136,1750.44,41,592,0.001
0.02,0.00390625,40656,1051.5,58,708,0.0001
0.02,0.00390625,16544,2236.81,37,581,0.005
0.02,0.00390625,68448,876.383,62,758,5e-05
0.02,0.00390625,117792,746.178,65,821,1e-05
0.002,0.00390625,131824,274.647,41,602,0.001
0.002,0.00390625,155344,363.967,57,712,0.0001
0.002,0.00390625,131232,607.417,38,588,0.005
0.002,0.00390625,183136,413.676,64,762,5e-05
0.002,0.00390625,232480,444.252,66,834,1e-05
0.05,0.00390625,8944,3665.6,41,588,0.001
0.05,0.00390625,32464,1916.22,57,705,0.0001
0.05,0.00390625,8352,4435.24,36,574,0.005
0.05,0.00390625,60256,1453.2,62,762,5e-05
0.05,0.00390625,109600,1114.71,65,811,1e-05
0.02,0.00195312,19192,1722.16,42,596,0.001
0.02,0.00195312,42712,1044.24,55,711,0.0001
0.02,0.00195312,18600,2222.29,39,576,0.005
0.02,0.00195312,70504,871.467,61,758,5e-05
0.02,0.00195312,119848,743.138,68,834,1e-05
0.002,0.00195312,148216,275.835,42,604,0.001
0.002,0.00195312,171736,359.934,57,718,0.0001
0.002,0.00195312,147624,603.479,39,584,0.005
0.002,0.00195312,199528,412.745,64,764,5e-05
0.002,0.00195312,248872,443.612,69,810,1e-05
0.05,0.00195312,9976,3644.93,42,602,0.001
0.05,0.00195312,33496,1912.09,57,713,0.0001
0.05,0.00195312,9384,4354.25,38,589,0.005
0.05,0.00195312,61288,1451.21,70,761,5e-05
0.05,0.00195312,110632,1114.08,66,813,1e-05
0.02,0.000976562,21248,1696.87,41,605,0.001
0.02,0.000976562,44768,1044.26,58,716,0.0001
0.02,0.000976562,20656,2177.16,38,690,0.005
0.02,0.000976562,72560,869.942,66,774,5e-05
0.02,0.000976562,121904,735.761,67,835,1e-05
0.002,0.000976562,164608,273.664,45,615,0.001
0.002,0.000976562,188128,361.041,59,714,0.0001
