epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.05,0.03125,5160,2796.18,4416.07,6,41
0.02,0.015625,12336,1244.59,1964.65,8,37
0.002,0.015625,98352,93.4268,146.864,7,36
0.05,0.015625,6192,2769.19,4370.37,6,36
0.02,0.0078125,14392,1242.12,1959.92,8,40
0.002,0.0078125,114744,83.8481,132.368,8,40
0.05,0.0078125,7224,2719.47,4293.3,7,41
0.02,0.00390625,16448,1209.41,1909.06,9,44
0.002,0.00390625,131136,82.5499,130.694,9,47
0.05,0.00390625,8256,2692.11,4250.35,9,46
0.02,0.00195312,18504,1200.95,1894.57,10,49
0.002,0.00195312,147528,76.3763,121.05,10,55
0.05,0.00195312,9288,2659.93,4199.27,9,48
0.02,0.000976562,20560,1157,1825.98,11,53
0.002,0.000976562,163920,80.6199,127.89,10,54
0.05,0.000976562,10320,2628.15,4149.14,11,54
0.02,0.000488281,22616,1168.08,1843.91,12,57
0.002,0.000488281,180312,72.4833,114.504,12,60
0.05,0.000488281,11352,2598.56,4103.09,11,59
0.02,0.000244141,24672,1126.65,1778.22,11,64
0.002,0.000244141,196704,78.8534,123.85,12,64
0.05,0.000244141,12384,2520.61,3981.01,12,63
0.02,0.00012207,26728,1161.59,1832.64,12,69
0.002,0.00012207,213096,74.6908,117.677,12,68
0.05,0.00012207,13416,2407.77,3814.45,12,66
0.02,6.10352e-05,28784,1023.47,1618.91,13,77
0.002,6.10352e-05,229488,76.392,120.572,14,76
0.05,6.10352e-05,14448,2543.05,4015.83,15,74
0.02,3.05176e-05,30840,1070.9,1690.42,13,81
0.002,3.05176e-05,245880,73.0081,114.886,15,80
0.05,3.05176e-05,15480,2455.18,3877.2,16,77
0.02,1.52588e-05,32896,1127.53,1779.2,15,84
0.002,1.52588e-05,262272,70.7469,111.566,16,84
0.05,1.52588e-05,16512,2558.48,4038.89,16,83
0.02,7.62939e-06,34952,982.393,1557.22,17,88
0.002,7.62939e-06,278664,64.5819,102.566,17,91
0.05,7.62939e-06,17544,2540.93,4011.05,15,89
0.02,3.8147e-06,37008,1125,1774.57,17,93
0.002,3.8147e-06,295056,69.001,108.904,18,95
0.05,3.8147e-06,18576,2534.1,4000.26,15,94
0.02,1.90735e-06,39064,1107.39,1747.19,17,99
0.002,1.90735e-06,311448,71.1418,111.841,18,99
0.05,1.90735e-06,19608,1928.62,3095.57,18,97
0.02,0.25,4112,1494.61,2359.43,4,17
0.002,0.25,32784,135.083,212.861,4,19
0.05,0.25,2064,3142.16,4958.08,4,18
0.02,0.125,6168,1379.75,2176.78,5,24
0.002,0.125,49176,116.472,182.804,5,23
0.05,0.125,3096,2964.41,4681.04,6,22
0.02,0.0625,8224,1323,2087.7,6,28
0.002,0.0625,65568,103.154,162.206,5,27
0.05,0.0625,4128,2636.02,4162.85,6,27
0.02,0.03125,10280,1289.22,2033.28,6,32
0.002,0.03125,81960,96.8754,152.357,9,33
0.05,0.03125,5160,2833.68,4473.65,7,32
0.02,0.015625,12336,1217.21,1922.54,8,38
0.002,0.015625,98352,86.854,136.983,7,37
0.05,0.015625,6192,2745.97,4334.48,8,37
0.02,0.0078125,14392,1221.06,1926.55,8,41
0.002,0.0078125,114744,90.3472,141.899,9,43
0.05,0.0078125,7224,2758.97,4355.28,9,41
0.02,0.00390625,16448,1119.6,1770.37,9,46
0.002,0.00390625,131136,71.8588,114.839,8,49
0.05,0.00390625,8256,2702.08,4265.36,8,46
0.02,0.00195312,18504,1207.85,1905.78,9,50
0.002,0.00195312,147528,82.7267,130.11,10,50
0.05,0.00195312,9288,2608,4117.28,10,49
0.02,0.000976562,20560,1183.32,1867.57,11,56
