epsilon,delta,memory,averageError,queryTime,updateTime,threshold
0.00859375,0.002,37912,764.279,39,582,0.001
0.00859375,0.002,63864,555.1,38,792,0.0001
0.00859375,0.002,88456,476.899,41,819,1e-05
0.00429688,0.002,73800,323.328,44,635,0.1
0.00429688,0.002,73848,316.022,41,612,0.01
0.00429688,0.002,74776,319.191,40,679,0.001
0.00429688,0.002,100728,237.416,52,949,0.0001
0.00429688,0.002,125320,211.089,58,872,1e-05
0.00214844,0.002,147528,124.36,38,585,0.1
0.00214844,0.002,147576,124.311,42,610,0.01
0.00214844,0.002,148504,122.525,42,681,0.001
0.00214844,0.002,174456,102.762,63,1064,0.0001
0.00214844,0.002,199048,88.3583,55,1255,1e-05
0.00107422,0.002,294984,45.1907,43,643,0.1
0.00107422,0.002,295032,45.0919,40,723,0.01
0.00107422,0.002,295960,45.1208,44,648,0.001
0.00107422,0.002,321912,38.7973,39,811,0.0001
0.00107422,0.002,346504,34.1009,54,837,1e-05
0.000537109,0.002,589896,14.9301,46,806,0.1
0.000537109,0.002,589944,15.1453,46,705,0.01
0.000537109,0.002,590872,15.1982,41,613,0.001
0.000537109,0.002,616824,13.5433,40,728,0.0001
0.000537109,0.002,641416,12.2449,42,787,1e-05
0.000268555,0.002,1179720,4.77523,40,592,0.1
0.000268555,0.002,1179768,4.37677,43,588,0.01
0.000268555,0.002,1180696,4.47779,43,638,0.001
0.000268555,0.002,1206648,4.65587,43,740,0.0001
0.000268555,0.002,1231240,4.00344,41,829,1e-05
0.000134277,0.002,2359368,1.03024,50,618,0.1
0.000134277,0.002,2359416,1.17478,45,666,0.01
0.000134277,0.002,2360344,0.927134,42,660,0.001
0.000134277,0.002,2386296,0.941622,45,821,0.0001
0.000134277,0.002,2410888,0.763146,44,831,1e-05
6.71387e-05,0.002,4718664,0.0434146,46,655,0.1
6.71387e-05,0.002,4718712,0.0200058,43,658,0.01
6.71387e-05,0.002,4719640,0.0456041,41,646,0.001
6.71387e-05,0.002,4745592,0.010935,40,750,0.0001
6.71387e-05,0.002,4770184,0.0618064,42,815,1e-05
3.35693e-05,0.002,9437256,0,45,614,0.1
3.35693e-05,0.002,9437304,0,46,621,0.01
3.35693e-05,0.002,9438232,0,45,642,0.001
3.35693e-05,0.002,9464184,0,49,772,0.0001
3.35693e-05,0.002,9488776,0,48,792,1e-05
1.67847e-05,0.002,18874440,0,55,620,0.1
1.67847e-05,0.002,18874488,0,58,640,0.01
1.67847e-05,0.002,18875416,0,57,717,0.001
1.67847e-05,0.002,18901368,0,64,1140,0.0001
1.67847e-05,0.002,18925960,0,121,934,1e-05
8.39233e-06,0.002,37748808,0,64,867,0.1
8.39233e-06,0.002,37748856,0,76,1052,0.01
8.39233e-06,0.002,37749784,0,71,894,0.001
8.39233e-06,0.002,37775736,0,79,1124,0.0001
8.39233e-06,0.002,37800328,0,91,1197,1e-05
4.19617e-06,0.002,75497544,0,81,931,0.1
4.19617e-06,0.002,75497592,0,84,1004,0.01
4.19617e-06,0.002,75498520,0,68,792,0.001
4.19617e-06,0.002,75524472,0,62,782,0.0001
4.19617e-06,0.002,75549064,0,63,811,1e-05
2.09808e-06,0.002,150995016,0,65,644,0.1
2.09808e-06,0.002,150995064,0,66,697,0.01
2.09808e-06,0.002,150995992,0,64,677,0.001
2.09808e-06,0.002,151021944,0,62,794,0.0001
2.09808e-06,0.002,151046536,0,67,849,1e-05
0.275,0.03125,680,41327.6,38,733,0.1
0.275,0.03125,728,40444.9,41,733,0.01
0.275,0.03125,1656,37420.2,59,735,0.001
0.275,0.03125,27608,22802.1,38,875,0.0001
0.275,0.03125,52200,19726.7,36,772,1e-05
0.1375,0.03125,1320,19903.5,35,532,0.1
0.1375,0.03125,1368,19539.6,35,571,0.01
0.1375,0.03125,2296,18112.8,39,611,0.001
0.1375,0.03125,28248,11207.5,36,738,0.0001
0.1375,0.03125,52840,9675.69,36,758,1e-05
0.06875,0.03125,2600,9384.85,35,545,0.1
0.06875,0.03125,2648,9279.56,37,537,0.01
0.06875,0.03125,3576,8701.49,38,595,0.001
0.06875,0.03125,29528,5486.74,40,830,0.0001
0.06875,0.03125,54120,4753.52,36,785,1e-05
0.034375,0.03125,5160,4386.32,34,532,0.1
0.034375,0.03125,5208,4316.18,36,557,0.01
0.034375,0.03125,6136,4121.86,36,581,0.001
0.034375,0.03125,32088,2623.91,35,763,0.0001
0.034375,0.03125,56680,2280.33,35,806,1e-05
0.0171875,0.03125,10280,1986.89,35,534,0.1
0.0171875,0.03125,10328,1952.68,34,583,0.01
0.0171875,0.03125,11256,1906.43,37,592,0.001
0.0171875,0.03125,37208,1261.45,39,815,0.0001
0.0171875,0.03125,61800,1079.07,44,937,1e-05
0.00859375,0.03125,20520,869.507,41,555,0.1
0.00859375,0.03125,20568,867.642,35,523,0.01
0.00859375,0.03125,21496,844.523,34,564,0.001
0.00859375,0.03125,47448,585.892,37,759,0.0001
0.00859375,0.03125,72040,504.708,42,811,1e-05
0.00429688,0.03125,41000,363.453,35,582,0.1
0.00429688,0.03125,41048,388.763,34,539,0.01
0.00429688,0.03125,41976,357.17,37,563,0.001
0.00429688,0.03125,67928,263.21,35,695,0.0001
0.00429688,0.03125,92520,226.557,35,746,1e-05
0.00214844,0.03125,81960,146.86,37,543,0.1
0.00214844,0.03125,82008,146.741,36,624,0.01
0.00214844,0.03125,82936,144.453,35,585,0.001
0.00214844,0.03125,108888,112.097,38,764,0.0001
0.00214844,0.03125,133480,98.7373,37,784,1e-05
0.00107422,0.03125,163880,55.5117,35,579,0.1
0.00107422,0.03125,163928,59.4913,35,544,0.01
0.00107422,0.03125,164856,54.9979,37,586,0.001
0.00107422,0.03125,190808,45.2821,35,774,0.0001
0.00107422,0.03125,215400,39.9648,36,747,1e-05
0.000537109,0.03125,327720,19.0555,36,533,0.1
0.000537109,0.03125,327768,19.0782,37,539,0.01
0.000537109,0.03125,328696,18.9026,38,597,0.001
0.000537109,0.03125,354648,16.4769,44,982,0.0001
0.000537109,0.03125,379240,14.5376,42,806,1e-05
0.000268555,0.03125,655400,5.65745,35,610,0.1
0.000268555,0.03125,655448,6.82339,36,538,0.01
0.000268555,0.03125,656376,5.84849,37,592,0.001
0.000268555,0.03125,682328,5.54518,37,733,0.0001
0.000268555,0.03125,706920,4.74955,37,749,1e-05
0.000134277,0.03125,1310760,1.70851,37,570,0.1
0.000134277,0.03125,1310808,1.49261,36,623,0.01
0.000134277,0.03125,1311736,1.46574,54,716,0.001
0.000134277,0.03125,1337688,1.54022,62,1230,0.0001
0.000134277,0.03125,1362280,1.22516,43,1189,1e-05
6.71387e-05,0.03125,2621480,0.0612184,49,889,0.1
6.71387e-05,0.03125,2621528,0.0248352,43,793,0.01
6.71387e-05,0.03125,2622456,0.131658,42,753,0.001
6.71387e-05,0.03125,2648408,0.894779,59,1066,0.0001
