epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.742462,1e-05,1496,1087.57,1720.02,130,765
0.525,1e-05,2584,622.645,984.896,130,795
0.371231,1e-05,4760,488.924,773.613,132,737
0.2625,1e-05,9112,251.656,398.116,129,872
0.185616,1e-05,17816,161.112,254.865,130,727
0.13125,1e-05,35224,89.9696,142.585,143,849
0.0928078,1e-05,70040,53.4826,84.3437,148,925
0.065625,1e-05,139672,34.4285,53.9001,130,895
0.0464039,1e-05,278936,17.9706,28.1097,130,787
0.0328125,1e-05,557464,8.58359,13.4383,135,789
0.0232019,1e-05,1114520,3.51665,5.48181,138,813
0.0164062,1e-05,2228632,1.36947,2.1623,145,850
0.011601,1e-05,4456856,0.52338,0.818797,163,961
0.00820312,1e-05,8913304,0.0564853,0.0936354,160,970
0.00580049,1e-05,17826200,0.000270305,0.000400365,167,988
0.00410156,1e-05,35651992,4.46836e-08,1.25114e-05,158,1003
0.00290024,1e-05,71303576,4.46836e-08,1.25114e-05,156,1028
0.742462,0.002,792,1265.98,1999.21,71,670
0.525,0.002,1368,1014.22,1602.41,76,751
0.371231,0.002,2520,591.988,934.479,71,707
0.2625,0.002,4824,324.362,512.877,71,723
0.185616,0.002,9432,211.735,334.767,79,666
0.13125,0.002,18648,127.113,200.57,76,774
0.0928078,0.002,37080,71.9755,113.745,85,716
0.065625,0.002,73944,48.2584,75.852,82,829
0.0464039,0.002,147672,24.6953,38.6579,83,733
0.0328125,0.002,295128,11.9368,19.3484,74,687
0.0232019,0.002,590040,5.72039,8.89121,75,691
0.0164062,0.002,1179864,2.2559,3.47232,77,727
0.011601,0.002,2359512,0.934329,1.48171,79,758
0.00820312,0.002,4718808,0.347404,0.544885,86,918
0.00580049,0.002,9437400,0.00161337,0.00309032,95,809
0.00410156,0.002,18874584,4.46836e-08,1.25114e-05,91,809
0.00290024,0.002,37748952,4.46836e-08,1.25114e-05,95,821
0.742462,0.03125,440,1897.87,2993.97,51,632
0.525,0.03125,760,1127.41,1781.22,56,649
0.371231,0.03125,1400,654.194,1032.84,60,650
0.2625,0.03125,2680,520.336,820.551,53,630
0.185616,0.03125,5240,271.789,429.298,52,644
0.13125,0.03125,10360,177.672,279.61,52,643
0.0928078,0.03125,20600,106.342,167.39,53,631
0.065625,0.03125,41080,73.9924,116.177,52,676
0.0464039,0.03125,82040,38.2432,60.1193,53,644
0.0328125,0.03125,163960,17.2907,26.9649,52,650
0.0232019,0.03125,327800,8.10125,12.6621,55,653
0.0164062,0.03125,655480,3.82233,5.83934,58,693
0.011601,0.03125,1310840,1.64684,2.52231,56,854
0.00820312,0.03125,2621560,0.460314,0.701115,55,699
0.00580049,0.03125,5243000,4.46836e-08,1.25114e-05,60,705
0.00410156,0.03125,10485880,0.00307077,0.00561763,67,723
0.00290024,0.03125,20971640,4.46836e-08,1.25114e-05,69,893
0.742462,0.125,264,2108.18,3319.45,51,680
0.525,0.125,456,1527.03,2419.62,50,658
0.371231,0.125,840,940.018,1488.21,44,636
0.2625,0.125,1608,634.956,1002.8,43,617
0.185616,0.125,3144,468.297,738.829,43,623
