epsilon,delta,memory,averageError,queryTime,updateTime,threshold
6.71387e-05,1e-05,8939960,0.0110976,56,848,0.0001
6.71387e-05,1e-05,8952600,8.75799e-05,54,872,5e-05
6.71387e-05,1e-05,8964552,2.50228e-05,51,876,1e-05
3.35693e-05,1e-05,17825928,0,76,738,0.1
3.35693e-05,1e-05,17825976,0,77,756,0.01
3.35693e-05,1e-05,17826040,0,76,763,0.005
3.35693e-05,1e-05,17826904,0,71,826,0.001
3.35693e-05,1e-05,17829128,0,72,787,0.0005
3.35693e-05,1e-05,17852856,0,71,866,0.0001
3.35693e-05,1e-05,17865496,0,70,888,5e-05
3.35693e-05,1e-05,17877448,0,72,896,1e-05
1.67847e-05,1e-05,35651720,0,84,822,0.1
1.67847e-05,1e-05,35651768,0,86,909,0.01
1.67847e-05,1e-05,35651832,0,82,771,0.005
1.67847e-05,1e-05,35652696,0,84,882,0.001
1.67847e-05,1e-05,35654920,0,79,818,0.0005
1.67847e-05,1e-05,35678648,0,82,878,0.0001
1.67847e-05,1e-05,35691288,0,96,946,5e-05
1.67847e-05,1e-05,35703240,0,90,996,1e-05
8.39233e-06,1e-05,71303304,0,87,804,0.1
8.39233e-06,1e-05,71303352,0,89,857,0.01
8.39233e-06,1e-05,71303416,0,100,882,0.005
8.39233e-06,1e-05,71304280,0,89,822,0.001
8.39233e-06,1e-05,71306504,0,89,825,0.0005
8.39233e-06,1e-05,71330232,0,89,888,0.0001
8.39233e-06,1e-05,71342872,0,84,898,5e-05
8.39233e-06,1e-05,71354824,0,83,912,1e-05
4.19617e-06,1e-05,142606472,0,86,776,0.1
4.19617e-06,1e-05,142606520,0,92,795,0.01
4.19617e-06,1e-05,142606584,0,85,798,0.005
4.19617e-06,1e-05,142607448,0,87,794,0.001
4.19617e-06,1e-05,142609672,0,88,807,0.0005
4.19617e-06,1e-05,142633400,0,92,903,0.0001
4.19617e-06,1e-05,142646040,0,91,987,5e-05
4.19617e-06,1e-05,142657992,0,99,982,1e-05
2.09808e-06,1e-05,285212808,0,95,868,0.1
2.09808e-06,1e-05,285212856,0,92,832,0.01
2.09808e-06,1e-05,285212920,0,94,896,0.005
2.09808e-06,1e-05,285213784,0,101,959,0.001
2.09808e-06,1e-05,285216008,0,89,929,0.0005
2.09808e-06,1e-05,285239736,0,96,930,0.0001
2.09808e-06,1e-05,285252376,0,92,1076,5e-05
2.09808e-06,1e-05,285264328,0,87,948,1e-05
0.275,0.002,1224,40516.9,38,578,0.1
0.275,0.002,1272,39813.4,38,571,0.01
0.275,0.002,1336,39377.5,38,577,0.005
0.275,0.002,2200,36614.1,38,602,0.001
0.275,0.002,4424,33488.1,38,636,0.0005
0.275,0.002,28152,22388.6,39,753,0.0001
0.275,0.002,40792,20793.7,41,764,5e-05
0.275,0.002,52744,19451,40,774,1e-05
0.1375,0.002,2376,18993.7,39,574,0.1
