epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.02,0.25,4112,1500.74,2368.15,33,525
0.002,0.25,32784,140.363,220.16,35,544
0.05,0.25,2064,3168.23,5002.44,34,526
0.02,0.125,6168,1395.85,2202.82,35,526
0.002,0.125,49176,119.256,187.005,36,539
0.05,0.125,3096,2970.89,4688.08,37,539
0.02,0.0625,8224,1333.89,2104.81,36,536
0.002,0.0625,65568,101.094,162.425,37,542
0.05,0.0625,4128,2891.43,4563.97,36,531
0.02,0.03125,10280,1246.33,1968.71,37,543
0.002,0.03125,81960,78.4388,126.109,36,729
0.05,0.03125,5160,2847.36,4493.79,37,554
0.02,0.015625,12336,1223.41,1932.96,37,543
0.002,0.015625,98352,89.5872,141.344,38,556
0.05,0.015625,6192,2745.94,4334.7,38,548
0.02,0.0078125,14392,1234.48,1947.64,38,556
0.002,0.0078125,114744,90.4297,142.027,39,552
0.05,0.0078125,7224,2736.49,4319.21,40,548
0.02,0.00390625,16448,1211.16,1910.68,41,560
0.002,0.00390625,131136,85.4626,134.302,40,562
0.05,0.00390625,8256,2688.56,4243.66,38,556
0.02,0.00195312,18504,977.407,1552.5,40,563
0.002,0.00195312,147528,85.5507,134.284,43,564
0.05,0.00195312,9288,2675.66,4223.16,40,561
0.02,0.000976562,20560,1157.3,1826.52,41,569
0.002,0.000976562,163920,81.0183,127.447,44,573
0.05,0.000976562,10320,2584.82,4083.43,40,565
0.02,0.000488281,22616,1162.98,1834.96,44,579
0.002,0.000488281,180312,77.7972,122.553,44,596
0.05,0.000488281,11352,2509.07,3967.24,42,585
0.02,0.000244141,24672,1133.69,1789.85,47,585
0.002,0.000244141,196704,79.0012,125.13,43,641
0.05,0.000244141,12384,2608.01,4116.74,44,616
0.02,0.00012207,26728,1154.84,1822.22,44,600
0.002,0.00012207,213096,66.9752,108.348,44,597
0.05,0.00012207,13416,2571.9,4060.61,44,589
0.02,6.10352e-05,28784,1137.5,1795.12,43,599
0.002,6.10352e-05,229488,62.9284,102.03,43,598
0.05,6.10352e-05,14448,2552.35,4029.15,44,583
0.02,3.05176e-05,30840,1052.95,1664.98,44,591
0.002,3.05176e-05,245880,74.6929,117.541,46,617
0.05,3.05176e-05,15480,2527.11,3989.42,47,596
0.02,1.52588e-05,32896,1115.78,1760.77,45,602
0.002,1.52588e-05,262272,71.8554,113.161,48,615
0.05,1.52588e-05,16512,2561.63,4043.84,45,607
0.02,7.62939e-06,34952,1121.18,1769.48,46,613
0.002,7.62939e-06,278664,68.099,107.974,47,612
0.05,7.62939e-06,17544,2490.03,3931.29,46,602
0.02,3.8147e-06,37008,1106.36,1745.95,47,624
0.002,3.8147e-06,295056,67.3525,106.638,46,641
0.05,3.8147e-06,18576,2506.8,3958.09,46,611
0.02,1.90735e-06,39064,1094.68,1727.17,46,618
0.002,1.90735e-06,311448,69.8438,110.074,47,681
0.05,1.90735e-06,19608,2543.84,4016.13,47,623
0.02,0.25,4112,1498.04,2367.37,34,533
0.002,0.25,32784,125.608,200.653,34,523
0.05,0.25,2064,2612.9,4182.37,33,528
0.02,0.125,6168,1297.3,2049.67,35,535
0.002,0.125,49176,108.965,172.356,35,530
0.05,0.125,3096,2811.34,4444,35,536
0.02,0.0625,8224,1132.55,1803.32,37,540
0.002,0.0625,65568,103.536,162.802,40,544
0.05,0.0625,4128,2910.73,4593.63,37,539
0.02,0.03125,10280,1293.49,2041.02,37,541
0.002,0.03125,81960,98.514,154.721,39,546
0.05,0.03125,5160,2809.74,4435.31,39,541
0.02,0.015625,12336,1265.23,1996.55,40,546
0.002,0.015625,98352,89.8501,141.901,39,561
0.05,0.015625,6192,2718.08,4291.97,39,542
0.02,0.0078125,14392,1227.28,1937.98,39,551
0.002,0.0078125,114744,86.0289,135.619,39,564
0.05,0.0078125,7224,2706.45,4273.28,40,564
0.02,0.00390625,16448,1217.63,1921.46,39,557
0.002,0.00390625,131136,87.3726,137.232,40,564
0.05,0.00390625,8256,2669.81,4213.69,39,564
0.02,0.00195312,18504,1182.69,1866.61,41,568
0.002,0.00195312,147528,77.6251,122.651,42,570
0.05,0.00195312,9288,2670.46,4216.21,40,574
0.02,0.000976562,20560,1026.38,1636.05,42,571
0.002,0.000976562,163920,80.3953,126.541,40,586
0.05,0.000976562,10320,2642.13,4171.08,42,582
0.02,0.000488281,22616,1149.3,1814.41,43,577
0.002,0.000488281,180312,80.3488,126.331,43,589
0.05,0.000488281,11352,2637.09,4164.08,43,581
0.02,0.000244141,24672,823.409,1356.17,40,574
0.002,0.000244141,196704,79.1052,124.336,43,594
0.05,0.000244141,12384,2607.6,4116.5,43,578
0.02,0.00012207,26728,1129.59,1783.08,44,580
0.002,0.00012207,213096,77.1766,121.251,43,614
0.05,0.00012207,13416,2195.26,3484.95,45,649
0.02,6.10352e-05,28784,948.173,1510.95,42,599
0.002,6.10352e-05,229488,76.9745,121.014,48,616
0.05,6.10352e-05,14448,2520.1,3979.25,45,591
0.02,3.05176e-05,30840,886.628,1428.96,44,609
0.002,3.05176e-05,245880,63.1445,102.359,46,615
0.05,3.05176e-05,15480,2572.68,4061.21,44,598
0.02,1.52588e-05,32896,1134.09,1789.38,45,606
0.002,1.52588e-05,262272,72.0881,113.873,45,614
0.05,1.52588e-05,16512,2555.35,4032.6,46,600
0.02,7.62939e-06,34952,1114.37,1758.87,46,608
0.002,7.62939e-06,278664,61.9402,99.445,47,625
0.05,7.62939e-06,17544,2522.31,3982.17,47,604
0.02,3.8147e-06,37008,1097.97,1733.17,47,618
0.002,3.8147e-06,295056,68.4425,108.622,48,634
0.05,3.8147e-06,18576,2481.7,3917.45,47,697
0.02,1.90735e-06,39064,1051.52,1661.06,48,633
0.002,1.90735e-06,311448,73.1233,114.861,48,634
0.05,1.90735e-06,19608,2545.02,4017.37,46,615
0.02,0.25,4112,1490.94,2352.5,36,532
0.002,0.25,32784,139.597,219.446,35,533
